"Firm","# of Matters","Avg Matter Cost","Total Hours","Total Expenses","Total Billed","Total AFA"
"WILLIAMS KASTNER & GIBBS PLLC","4","$215,002.19","697.40","$7,140.04","$196,158.16","$0.00"
"Morris Nichols Arsht & Tunnell","3","$165,979.00","256.60","$852.10","$196,062.00","$0.00"
"Messner Reeves, LLP","8","$34,800.82","1,071.40","$2,241.68","$195,119.38","$0.00"
"Littler Mendelson","32","$24,349.34","850.50","$245,952.46","$194,202.20","$0.00"
"FOWLER HIRTZEL MCNULTY & SPAULDING","5","$87,926.92","1,063.90","$10,849.62","$193,848.25","$0.00"
"Linklaters","3","$66,528.96","202.00","$7,182.38","$192,404.50","$0.00"
"HAMBERGER & WEISS","215","$1,623.32","1,658.91","$2,605.00","$192,138.98","$0.00"
"HANSEN MCCLINTOCK & RILEY","40","$23,780.18","1,492.80","$7,859.43","$192,101.25","$0.00"
"Walsworth Franklin Bevins & Mccall Llp","7","$35,134.46","1,456.58","$15,187.33","$191,876.56","$0.00"
"LUNDMARK BARBERICH LAMONT & SLAVIN PC","148","$3,840.59","1,788.90","$29,562.09","$191,698.17","$0.00"
"CONKLIN BENHAM PC","59","$8,604.74","2,122.80","$6,591.52","$191,233.18","$0.00"
"COLODNY FASS TALENFELD KARLINSKY &ABATE","1","$282,411.16","881.80","$179.83","$189,935.00","$0.00"
"ZWEIG LAW PC","16","$37,958.69","1,072.40","$1,164.66","$189,487.09","$0.00"
"TERWILLIGER WAKEEN PIEHLER & CONWAY SC","14","$23,466.38","1,617.00","$3,402.74","$189,464.11","$0.00"
"Andrews, Lagasse, Branch & Bell","6","$165,804.45","743.00","$50,874.13","$189,073.44","$0.00"
"STRANGE & JONES","278","$2,084.19","1,397.35","$0.00","$188,845.52","$0.00"
"Hudgins Law Firm","20","$13,700.60","1,116.60","$5,694.64","$188,840.36","$0.00"
"FLYNN WIRKUS YOUNG PC","2","$188,932.67","1,293.00","$37,963.64","$188,672.34","$0.00"
"STONBERG MORAN LLP","45","$14,912.98","1,197.10","$15,329.46","$188,588.10","$0.00"
"CHIESA SHAHINIAN & GIANTOMASI PC","12","$63,622.18","1,121.60","$6,715.18","$186,705.79","$0.00"
"JOHNSON TRENT & TAYLOR LLP","4","$114,661.10","1,275.29","$36,324.20","$185,185.50","$0.00"
"HIRST & APPLEGATE LLP","7","$71,838.97","1,346.80","$21,089.51","$185,177.19","$0.00"
"Blank Rome","20","$65,525.95","940.30","$4,521.53","$184,890.20","$0.00"
"McMahon & McMahon LLP","84","$10,950.05","1,736.80","$16,856.67","$184,219.35","$0.00"
"COTTEN SCHMIDT & ABBOTT LLP","5","$76,954.78","1,113.69","$3,690.92","$183,538.89","$0.00"
"DOCTOR LAW GROUP LLP","5","$73,987.71","340.10","$75.71","$193,486.50","$10,000.00"
"CHIUMENTO MCNALLY LLC","6","$144,943.69","1,200.05","$5,548.52","$183,188.68","$0.00"
"BAIRD & BAIRD PSC","144","$5,007.90","2,419.19","$9,923.48","$179,444.79","$0.00"
"VERRILL DANA","6","$19,798.97","968.80","$132.92","$179,252.32","$0.00"
"CHRISTIAN & SMALL LLP","6","$35,064.23","1,299.73","$3,604.02","$178,623.71","$0.00"
"THE ROBERTSON LAW GROUP","2","$89,106.25","637.00","$23.00","$178,189.50","$0.00"
"GOODELL DEVRIES LEECH & DANN LLP","9","$46,360.82","991.70","$26,715.14","$177,919.73","$0.00"
"Kelly Law Offices","42","$5,946.62","1,275.59","$656.71","$177,818.50","$0.00"
"PARSONS MCENTIRE MCLEARY & CLARK PLLC","15","$13,144.09","608.70","$59.28","$177,430.69","$0.00"
"LAW OFFICES OF WARREN BROWN PA","34","$8,566.79","1,191.90","$38.00","$177,353.40","$0.00"
"MOSS LEGAL GROUP PLLC","13","$23,852.34","1,703.45","$7,156.96","$175,296.21","$0.00"
"PETKOFF & FEIGELSON PLLC","10","$47,402.02","713.30","$19,509.84","$175,101.72","$0.00"
"HALLETT EMERICK WELLS & SAREEN PLC","59","$18,773.10","1,434.60","$2,317.82","$173,982.99","$0.00"
"JANIK LLP","19","$22,943.29","1,106.85","$7,873.14","$172,660.76","$0.00"
"RICHARDS BRANDT MILLER & NELSON","10","$39,106.22","1,273.10","$6,973.58","$172,627.57","$0.00"
"Halloran & Sage","19","$154,526.92","1,076.00","$691.68","$172,212.00","$0.00"
"RYAN SMITH & CARBINE LTD","27","$22,156.23","1,226.20","$869.91","$171,361.66","$0.00"
"NAULTY SCARICAMAZZA & MCDEVITT LTD","46","$5,640.17","1,187.10","$817.98","$171,302.40","$0.00"
"WINGET SPADAFORA & SWARTZBERG LLP","7","$37,941.24","796.20","$22,371.34","$170,175.18","$0.00"
"DEVINE MILLIMET & BRANCH","7","$96,336.72","923.30","$742.72","$169,884.01","$0.00"
"CALL & JENSEN","1","$329,914.04","478.70","$14,307.84","$169,293.00","$0.00"
"KAPLAN MASSAMILLO & ANDREWS LLC","9","$54,060.46","603.80","$11,084.49","$169,030.10","$0.00"
"OFFUTT & NORD","10","$27,113.68","1,243.80","$1,281.81","$169,007.25","$0.00"
"BLANK, ROME LLP","20","$64,723.83","834.30","$35,524.99","$168,721.50","$0.00"
"PYKA LENHARDT SCHNAIDER DAWKINS LLP","2","$103,700.47","1,366.50","$15,510.94","$168,452.52","$0.00"
"FERGUSON SCHETELICH & BALLEW PC","2","$63,255.64","973.80","$658.46","$167,984.00","$0.00"
"SETTLE & POU","1","$174,102.07","1,068.50","$6,291.07","$167,811.00","$0.00"
"DENNIS CORRY PORTER & SMITH LLP","28","$24,010.86","1,150.19","$17,286.72","$165,455.83","$0.00"
"BOBO CIOTOLI WHITE & RUSSELL PA","19","$30,100.90","1,526.59","$68,063.20","$165,376.01","$0.00"
"NORTHCRAFT BIGBY PC","5","$683,449.55","737.90","$4,169.19","$165,269.91","$0.00"
"DUNN WEATHERED COFFEY & KASPERITIS PC","16","$26,141.86","1,198.69","$39,748.25","$165,154.17","$0.00"
"Munson, Rowlett, Moore & Boone, P A","12","$12,836.47","1,047.60","$8,870.34","$165,098.71","$0.00"
"Smith Law Group, PLLC","2","$700,625.96","810.00","$235,778.17","$163,564.00","$0.00"
"DANIELS RODRIGUEZ BERKELEY DANIELS CRUZ","4","$55,098.89","1,283.90","$4,233.17","$162,569.43","$0.00"
"DAVENPORT EVANS HURWITZ & SMITH LLP","11","$26,226.72","802.40","$10,706.52","$162,306.86","$0.00"
"NYHAN BAMBRICK KINZIE & LOWRY PC","29","$6,383.90","1,236.61","$4,260.86","$161,938.79","$0.00"
"Michelman & Robinson, LLP","4","$12,099.24","442.50","$3,286.11","$164,158.48","$2,324.00"
"GOODSILL ANDERSON QUINN & STIFEL","11","$23,352.12","966.90","$3,695.50","$161,413.50","$0.00"
"Baker, Donelson, Bearman, Caldwell & Berkowitz, PC","8","$53,688.79","950.50","$16,351.41","$159,215.50","$0.00"
"ARNSTEIN, LEHR","2","$320,708.04","683.49","$4,243.61","$157,797.50","$0.00"
"FORD WALKER HAGGERTY & BEHAR","2","$94,976.74","1,038.50","$10,444.50","$156,710.50","$0.00"
"Butzel Long","1","","526.00","$0.00","$159,211.50","$2,646.50"
"FRILOT LLC","17","$52,242.76","1,231.00","$6,318.05","$156,002.60","$0.00"
"GLENN SILVERII & ASSOCIATES APC","54","$16,537.45","1,450.30","$1,130.62","$155,882.40","$0.00"
"PREIS, GORDON","18","$72,445.06","1,021.90","$0.00","$155,761.03","$0.00"
"Dunn Coffey & Kasperitis","11","$23,240.29","1,034.90","$24,170.74","$155,054.85","$0.00"
"ANGULO MCGHEE","16","$21,901.54","1,151.89","$13,883.33","$153,887.63","$0.00"
"Phelps Dunbar","9","$54,377.84","978.20","$6,664.56","$152,741.95","$0.00"
"MACIOROWSKI SACKMANN ULRICH LLP","67","$6,393.06","919.50","$1,384.49","$152,735.50","$0.00"
"Boyd & Boyd","71","$8,530.43","994.30","$7,626.22","$152,131.46","$0.00"
"LEWIS, KING, KRIEG & WALDROP PC","29","$29,109.34","1,145.59","$9,036.69","$151,795.82","$0.00"
"McDermott Will & Emery","6","$57,699.84","220.30","$587.80","$160,687.25","$10,557.50"
"CARLSON CALLADINE & PETERSON LLP","4","$154,684.40","525.90","$1,669.15","$149,439.86","$0.00"
"KELLEY, JASONS, MCGOWAN, SPINELLI & HANNA, LLP","28","$15,604.01","1,760.70","$1,271.75","$148,963.47","$0.00"
"Plews, Shadley, Racher & Braun","1","$265,690.42","475.15","$2,434.27","$148,355.00","$0.00"
"CONNIE M. WOLFE & ASSOCIATES","89","$3,239.03","1,569.05","$2,138.85","$147,525.21","$0.00"
"Butler,Weihmuller, Katz & Craig, LLP","9","$12,306.46","837.30","$7,313.33","$146,633.34","$0.00"
"MURRAY MORIN & HERMAN PA","1","$149,541.89","972.60","$2,932.89","$146,609.00","$0.00"
"TRESSLER, SODERSTROM, MALONEY & PRIESS, LLP","13","$16,033.40","634.50","$1,885.69","$146,195.00","$0.00"
"Lewis Thompson King Krieg & Waldrop","23","$9,237.29","1,097.70","$812.44","$145,139.77","$0.00"
"Kaplan Johnson Abate & Bird","7","$47,062.17","492.00","$3,265.68","$145,120.20","$0.00"
"RITZLER COUGHLIN & PAGLIA LTD","16","$27,436.85","1,331.90","$3,163.58","$144,900.34","$0.00"
"PETTIETTE ARMAND DUNKELMAN WOODLEY BYRD & CROMWELL LLP","62","$8,658.94","1,372.20","$5,296.77","$144,642.40","$0.00"
"ERACLIDES GELMAN HALL INDEK GOODMAN WATERS PA","39","$6,187.30","1,215.60","$2,221.56","$144,505.68","$0.00"
"THERIAULT & JOSLIN PC","32","$8,763.93","1,114.30","$1,238.82","$143,829.70","$0.00"
"HECKLER & FRABIZZIO","47","$14,946.24","1,558.80","$6,488.62","$143,615.92","$0.00"
"VALDEZ & TREVINO ATTORNEYS AT LAW PC","8","$30,791.24","1,059.59","$7,187.86","$143,379.28","$0.00"
"Nichols Lang & Hamlin","15","$28,935.67","1,036.10","$9,514.50","$143,240.60","$0.00"
"DONOHUE PATRICK & SCOTT PLLC","5","$58,538.83","1,281.10","$6,263.86","$142,844.02","$0.00"
"Hite, Fanning & Honeyman, L.L.P.","19","$17,065.32","1,111.10","$3,808.13","$142,089.17","$0.00"
"Resnick & Louis, PC","12","$18,691.46","935.40","$16,039.93","$141,882.54","$0.00"
"STONE KALFUS LLP","2","$105,748.82","992.30","$13,441.64","$141,708.90","$0.00"
"LUBING LAW GROUP","3","$28,770.71","911.46","$12,105.61","$140,830.92","$0.00"
"SECREST, WARDLE, LYNCH, HAMPTON, TRUEX & MORLEY, PC","29","$14,294.14","1,210.50","$18,965.68","$140,295.64","$0.00"
"JENKINS FENSTERMAKER PLLC","100","$3,611.67","1,410.83","$11,898.88","$139,817.48","$0.00"
"SALMON RICCHEZZA SINGER & TURCHI LLP","17","$30,947.30","1,134.20","$3,977.43","$139,524.63","$0.00"
"GLEASON DUNN WALSH & O'SHEA","3","$55,759.28","1,004.70","$10,404.41","$138,777.16","$0.00"
"Hamilton, Miller & Birthisel, LLP","10","$23,033.03","1,852.59","$36,813.10","$138,383.84","$0.00"
"KRAMER DEBOER & KEANE LLP","10","$35,803.38","1,103.99","$24,218.42","$138,093.62","$0.00"
"Moore, Cockrell, Goicoechea & Johnson, P.C.","4","$56,272.85","844.30","$22,357.09","$137,865.17","$0.00"
"LORBER GREENFIELD POLITO PENGILLY","15","$73,078.28","986.48","$6,722.31","$137,857.69","$0.00"
"Ice Miller","18","$9,246.13","607.20","$250.81","$137,664.50","$0.00"
"Pion, Nerone, Girman, Winslow & Smith, P.C.","4","$76,140.88","753.80","$6,394.29","$137,642.50","$0.00"
"SILVERMAN SHIN & BYRNE PLLC","8","$23,082.15","798.40","$2,868.93","$136,338.00","$0.00"
"Law Offices Of Joshua B Vinograd","54","$2,734.67","1,038.00","$0.00","$135,178.50","$0.00"
