"Firm","# of Matters","Avg Matter Cost","Total Hours","Total Expenses","Total Billed","Total AFA"
"Norman, Hanson & DeTroy, LLC","7","$30,405.30","345.00","$1,751.44","$47,658.58","$0.00"
"FORSBERG & UMLAUF","4","$62,276.77","230.20","$738.46","$47,351.74","$0.00"
"BROWN & CONNERY LLP","2","$68,394.42","259.60","$37.49","$47,332.40","$0.00"
"HORNECKER COWLING LLP","1","$60,717.79","247.50","$1,912.40","$47,316.59","$0.00"
"BAINBRIDGE, MIMS, ROGERS & SMITH, LLP","1","","256.20","$737.11","$47,260.20","$0.00"
"MITCHELL, WILLIAMS, SELIG, GATES & WOODYARD, PLLC","2","$12,559.58","315.60","$992.24","$47,218.36","$0.00"
"Funk & Bolton","9","$13,818.96","160.20","$210.90","$47,200.00","$0.00"
"Erickson & Sederstrom, P.C.","6","$4,430.59","582.40","$538.30","$46,339.76","$0.00"
"BOONE KARLBERG, P.C.COTT","2","$10,193.50","235.20","$0.00","$46,307.50","$0.00"
"COLLINS EINHORN FARRELL PC","5","$19,660.11","354.90","$769.58","$45,740.22","$0.00"
"BOZEMAN NEIGHBOUR PATTON & NOE","5","$26,203.90","303.70","$2,340.41","$45,296.50","$0.00"
"FRANKE, SCHULTZ & MULLEN, PC","4","$12,739.64","390.90","$4,671.73","$45,278.03","$0.00"
"Kilgore & Kilgore","2","$40,267.07","131.10","$1,068.44","$45,049.50","$0.00"
"MCNAMARA NEY BEATTY SLATTERY BORGES & AMBACHER LLP","12","$9,945.37","292.90","$4,733.01","$45,012.41","$0.00"
"COKINOS YOUNG","3","$258,169.06","196.20","$446.90","$44,925.00","$0.00"
"Grotefeld Hoffmann Gordon Ochoa & Evinger","12","$14,731.89","460.90","$1,229.36","$44,861.06","$0.00"
"FRASER WATSON & CROUCH","1","$159,823.39","242.60","$2,240.42","$44,825.50","$0.00"
"DAmato & Lynch, LLP","7","$76,904.44","192.00","$185.14","$44,803.96","$0.00"
"BOLEN PARKER BRENNER LEE & ENGELSMAN","3","$11,003.51","455.90","$8,712.16","$44,681.86","$0.00"
"STANDER REUBENS THOMAS KINSEY APC","11","$7,284.84","369.20","$19.19","$44,657.50","$0.00"
"MCVEY, PARSKY, LLC","1","$67,457.53","267.80","$22,823.53","$44,634.00","$0.00"
"BARRY MCTIERNAN & MOORE LLC","10","$49,614.45","257.00","$863.60","$44,353.50","$0.00"
"BUCKLEY THEROUX KLINE & PETRASKE LLC","4","$45,892.65","293.50","$35,201.28","$44,227.24","$0.00"
"Hanszen Laporte","4","$10,340.40","253.00","$3,541.00","$44,148.50","$0.00"
"Dentons Europe Poland","1","$50,416.57","116.20","$975.20","$43,926.00","$0.00"
"THE HUSTEAD LAW FIRM","1","$71,820.05","182.70","$95.20","$43,886.18","$0.00"
"AMARO BALDWIN LLP","3","$18,400.24","268.40","$1,602.20","$43,645.00","$0.00"
"LAW OFFICE OF EDUARDO E. NERET, P.A.","3","$16,656.06","339.80","$0.00","$43,632.50","$0.00"
"THE HUNT LAW GROUP LLC","3","$16,092.34","234.80","$5,205.51","$43,071.50","$0.00"
"LEVY, FORD","2","$84,403.79","869.10","$660.60","$43,055.60","$0.00"
"D'ANDRE LAW LLP","7","$17,544.32","271.10","$0.00","$42,483.50","$0.00"
"Winstead PC","2","$47,275.70","84.80","$70.74","$42,440.00","$0.00"
"The Stace Williams Law Firm, P.C.","66","$1,945.49","328.10","$0.00","$42,029.06","$0.00"
"LAW OFFICES OF ROBLES & CASTLES","2","$115,791.25","178.10","$47.80","$42,026.26","$0.00"
"PARKER & IRWIN","9","$12,361.11","306.40","$518.90","$42,001.50","$0.00"
"JENNINGS TEAGUE PC","3","$23,708.15","312.00","$4,492.44","$41,950.33","$0.00"
"BERGER SINGERMAN LLP","2","$236,370.02","81.70","$2.80","$41,939.00","$0.00"
"Boies, Schiller & Flexner","1","","37.70","$0.00","$41,470.00","$0.00"
"DEMLER ARMSTRONG & ROWLAND LLP","5","$28,303.75","710.25","$8,925.83","$41,450.67","$0.00"
"Chapman and Cutler","10","$19,828.68","66.70","$95.44","$198,191.39","$157,081.00"
"COSGRAVE VERGEER KESTER LLP","3","$44,513.54","256.20","$879.60","$41,099.21","$0.00"
"THE DILL FIRM APLC","3","$20,575.69","268.00","$3,059.70","$41,098.99","$0.00"
"SWAIN & DIPOLITO LLP","5","$15,765.62","232.90","$4,892.28","$41,074.36","$0.00"
"Mauer Law Firm","1","$40,947.00","183.40","$0.00","$40,947.00","$0.00"
"Hillhouse & Morrow","11","$15,146.38","233.70","$900.97","$40,784.70","$0.00"
"O'BRIEN TANSKI & YOUNG LLP","2","$60,193.90","274.10","$928.35","$40,691.50","$0.00"
"MIRANDA SLONE SKLARIN VERVENIOTIS","1","","239.00","$33.70","$40,680.50","$0.00"
"Hall, Jaffe & Clayton, LLP","1","$86,239.11","273.40","$14,915.66","$40,549.50","$0.00"
"Kane Law Firm","13","$9,405.05","298.40","$11,204.86","$40,431.04","$0.00"
"HARDIN JESSON & TERRY","2","$56,869.61","252.60","$240.19","$40,403.50","$0.00"
"PARTLOW LAW OFFICE","2","$57,432.12","180.60","$1,783.07","$40,291.86","$0.00"
"WILLIAM G HARGER & ASSOCIATES PLLC","2","$159,197.90","178.90","$372.80","$40,251.90","$0.00"
"MCNEIL TROPP & BRAUN LLP","6","$20,832.52","284.40","$2,390.80","$40,182.00","$0.00"
"ROSE PADDEN PETTY TAYLOR & LILLY LC","7","$28,732.70","214.60","$456.84","$39,994.50","$0.00"
"ESP KREUZER CORES LLP","3","$73,942.69","240.50","$1,178.65","$39,898.90","$0.00"
"BROWN & CARLSON","9","$10,494.56","329.20","$1,124.71","$39,804.09","$0.00"
"PEARLMAN BROWN & WAX LLP","9","$13,559.12","304.10","$507.79","$39,751.50","$0.00"
"ALLEN & GOOCH","5","$28,097.20","265.40","$8,195.03","$39,525.50","$0.00"
"Sugarman Law Firm Llp","2","$50,354.35","233.50","$471.16","$39,493.22","$0.00"
"DENTONS CANADA LLP","3","$84,650.76","119.90","$856.55","$39,355.45","$0.00"
"GASKELL & ASSOCIATES APC","5","$27,890.55","254.70","$0.00","$39,299.50","$0.00"
"LIVINGSTONE MUELLER O'BRIEN & DAVLIN PC","7","$36,050.68","311.20","$582.20","$38,915.00","$0.00"
"Geary Porter & Donovan P C","1","$41,722.08","183.30","$3,024.58","$38,697.50","$0.00"
"BARKER CASTRO KUBAN & STEINBACK LLC","4","$7,503.45","200.70","$4,469.36","$38,633.00","$0.00"
"MARTIN MAGNUSON MCCARTHY & KENNEY","1","$69,672.34","228.40","$9,421.98","$38,553.20","$0.00"
"Meltzer Purtill & Stelle","1","","203.61","$0.00","$38,432.00","$0.00"
"THE PANAGIOTIS FIRM","4","$13,175.66","253.40","$33,802.02","$38,277.50","$0.00"
"Lee Landrum & Carlson","3","$3,422.23","221.10","$44.99","$38,273.74","$0.00"
"Jones Walker","1","$43,099.68","165.60","$4,904.68","$38,195.00","$0.00"
"ORR ELMORE & ERVIN LLC","3","$46,410.64","234.00","$44.48","$38,072.31","$0.00"
"DAVIDS & COHEN PC","1","$48,573.00","121.60","$0.00","$37,768.50","$0.00"
"FOLIART HUFF OTTAWAY & BOTTOM","4","$11,147.04","221.10","$2,372.62","$37,706.50","$0.00"
"GREENSFELDER LAW, .","1","$101,041.82","271.70","$0.00","$37,596.80","$0.00"
"Bardsley Benedict & Cholden","8","$22,069.85","268.30","$0.00","$37,468.60","$0.00"
"JORDAN RAMIS PC","1","$57,994.04","180.00","$19,728.95","$37,467.59","$0.00"
"EBERLE BERLIN KADING TURNBOW & MCKLVEEN CHTD","1","","213.90","$0.00","$37,432.50","$0.00"
"KAY CASTO & CHANEY PLLC","1","","139.30","$1,263.87","$37,401.00","$0.00"
"Lewis Rice LLC","2","$53,920.35","209.10","$0.00","$37,138.70","$0.00"
"SMITH MAZURE DIRECTOR WILKINS YOUNG & YAGERMAN PC","7","$53,741.07","244.50","$1,850.93","$37,004.40","$0.00"
"RUSSELL & WRIGHT PLLC","3","$20,773.78","181.30","$2,224.98","$36,930.50","$0.00"
"Larew Law Firm","4","$100,678.37","165.40","$1,584.77","$36,923.05","$0.00"
"HOUSTON HARBAUGH","2","","225.80","$0.00","$36,852.50","$0.00"
"Pierson Legal Services","17","$26,423.16","295.10","$182.40","$36,770.40","$0.00"
"JABURG WILK PC","1","$61,040.45","290.00","$3,667.19","$36,714.23","$0.00"
"HUDSON POTTS & BERNSTEIN","3","$19,580.63","241.30","$3,459.16","$36,643.50","$0.00"
"PRETI, FLAHERTY, BELIVEAU, PACHIOS, HALEY, LLC","19","$7,476.34","268.00","$0.00","$36,623.54","$0.00"
"MORIARTY & ASSOCIATES PC","14","$4,791.49","488.10","$3,789.43","$36,362.14","$0.00"
"GATTI FOZ APLC","17","$16,612.94","257.30","$140.62","$36,262.50","$0.00"
"CONSTANGY BROOKS SMITH & PROPHETE LLP","8","$12,342.82","166.30","$986.77","$36,086.93","$0.00"
"CROSSLEY MCINTOSH COLLIER HANLEY & EDES","3","$8,048.91","355.10","$4,084.69","$36,074.94","$0.00"
"Andrew C Simpson PC","1","$120,285.25","124.50","$5,568.61","$36,050.00","$0.00"
"Devitt Spellman Barrett","1","","192.10","$0.00","$36,008.00","$0.00"
"Heyman Enerio Gattuso & Hirzel","5","$44,136.09","66.20","$0.00","$35,961.45","$0.00"
"RHOADES & MORROW LLC","11","$29,017.15","223.60","$315.03","$35,945.80","$0.00"
"PETTIT & PETTIT","1","","384.90","$0.00","$35,921.00","$0.00"
"Pk Schrieffer","1","","280.60","$840.08","$35,787.00","$0.00"
"BARTLETT MCDONOUGH & MONAGHAN LLP","10","$17,789.31","291.50","$2,465.20","$35,584.00","$0.00"
"PRENTISS GRANT LLC","3","$38,545.84","303.60","$371.34","$35,524.00","$0.00"
"Crowell & Moring","2","","99.20","$731.32","$43,401.00","$7,956.00"
"Keefer Wood Allen & Rahal","1","","105.70","$0.00","$35,375.00","$0.00"
"Burr & Forman","6","$51,096.63","118.10","$1,418.55","$253,729.14","$218,833.20"
"SMITH CURRIE & HANCOCK","1","$34,887.50","111.20","$0.00","$34,887.50","$0.00"
"HeplerBroom LLC","7","$62,440.85","197.50","$2,175.42","$34,666.63","$0.00"
"Gray Layton Kersh Solomon Furr & Smith","1","$34,824.21","279.30","$244.21","$34,580.00","$0.00"
"Upshaw, Williams, Biggers & Beckham, LLP","3","$234,126.15","150.70","$27,368.62","$34,456.30","$0.00"
"COSTELLO PORTER HILL HEISTERKAMP BUSHNELL & CARPENTER LLP","3","$19,752.89","334.70","$880.80","$36,846.81","$2,433.20"
"LARA A. WILCOX","2","","257.70","$10,355.09","$34,365.05","$0.00"
"LINDNER & MARSACK SC","9","$9,087.01","240.00","$924.49","$34,269.20","$0.00"
"WALKER & EAKES","1","$34,543.06","177.10","$278.76","$34,264.30","$0.00"
"ARMIENTI DEBELLIS GUGLIELMO & RHODEN LLP","4","$33,292.83","212.30","$0.00","$34,223.00","$0.00"
"PETERSON BERNARD","3","$33,558.78","311.00","$4,018.96","$34,155.24","$0.00"
"HEPLER BROOM","3","$25,114.87","202.70","$4.88","$33,917.37","$0.00"
"CONNORS O'DELL LLP","8","$10,946.79","254.70","$1,199.25","$33,787.50","$0.00"
"GALLAGHER & CAVANAUGH, LLP","1","$35,747.10","242.60","$1,967.60","$33,779.50","$0.00"
"Rajkowski Hansmeier","1","$59,122.40","195.30","$0.00","$33,771.00","$0.00"
"WIDOM & SAVEY LLP","12","$13,368.72","271.20","$76.80","$33,671.00","$0.00"
"Wade Clark Mulcahy","4","$32,311.34","264.40","$2,044.60","$33,663.63","$0.00"
"STRUCK LOVE BOJANOWSKI & ACEDO PLC","1","","142.10","$56.40","$33,366.00","$0.00"
"TUCKER LAW GROUP","5","$8,889.45","252.00","$56.95","$33,086.50","$0.00"
"BLACK MARJIEH LEFF & SANFORD LLP","1","","270.00","$0.00","$33,042.00","$0.00"
"STONE & ASSOCIATES APC","7","$15,339.70","374.60","$3,166.35","$32,831.63","$0.00"
"HILL BETTS & NASH LLP","1","$81,915.07","157.10","$17.91","$32,736.00","$0.00"
"ROTHBERG LOGAN & WARSCO LLP","11","$3,830.38","299.20","$1,745.97","$32,297.28","$0.00"
"CHONG NISHIMOTO SIA NAKAMURA & GOYA LLP","2","$16,400.10","182.50","$603.76","$32,196.45","$0.00"
"The Perez Law Firm","1","$41,293.20","141.50","$320.40","$32,172.96","$0.00"
"Selendy & Gay","2","$118,488.78","44.10","$53.16","$32,078.00","$0.00"
"METZ LEWIS BRODMAN MUST O'KEEFE LLC","1","$298,080.43","189.40","$2,961.76","$32,049.00","$0.00"
"Adelman Law Firm","2","","273.30","$177.70","$31,890.00","$0.00"
"KEVIN DEVINE LAW PLLC","3","$14,350.14","132.90","$26.32","$31,888.75","$0.00"
"MONTGOMERY RENNIE & JONSON","10","$23,548.00","380.90","$395.04","$31,726.00","$0.00"
"Felhaber, Larson, Fenlon & Vogt","1","$123,769.67","180.00","$6,748.25","$31,667.50","$0.00"
"GITTO & NIEFER LLP","40","$953.78","240.20","$0.00","$31,593.19","$0.00"
"HICKS DAVIS WYNN,P.C","1","$197,664.72","146.60","$2,025.10","$31,482.00","$0.00"
"KNELL & O`CONNOR DANIELEWICZ PC","2","$35,213.30","242.30","$78.84","$31,431.50","$0.00"
"Goulston & Storrs","1","","166.15","$0.00","$31,393.00","$0.00"
"MATOVICH KELLER & MURPHY PC","10","$8,215.24","182.50","$0.00","$31,322.11","$0.00"
"Brandon","4","$1,921.72","201.20","$3,333.24","$31,295.50","$0.00"
"LEITNER TORT DEFAZIO & BRAUSE","17","$4,806.00","251.22","$47.30","$31,185.00","$0.00"
"Johnson, Graffe, Keay, Moniz & Wick","2","$79,349.84","155.40","$1,715.28","$31,171.66","$0.00"
"DUPLASS ZWAIN BOURGEOIS PFISTER WEINSTOCK & BOGART","1","$265,425.71","215.70","$18,187.70","$31,144.50","$0.00"
"QUINN JOHNSTON HENDERSON PRETORIUS & CERULO","14","$2,885.39","246.90","$819.97","$31,047.70","$0.00"
"GAROFALO SCHREIBER & STORM CHARTERED","9","$17,441.13","216.30","$336.80","$30,966.00","$0.00"
"Brock Guerra Strandmo Dimaline Jones","1","$37,833.24","215.60","$0.00","$30,812.50","$0.00"
"Duke Scanlan & Hall, PLLC","2","$55,087.36","256.20","$4,741.27","$30,664.97","$0.00"
"RAJKOVICH WILLIAMS KILPATRICK & TRUE PLLC","2","$33,268.32","153.10","$1,395.03","$30,620.00","$0.00"
"Whitlow, Roberts, Houston & Straub","8","$2,279.73","266.90","$694.60","$30,540.00","$0.00"
"Condo Roccia Koptiw","1","$40,653.45","90.50","$8,503.95","$30,349.50","$0.00"
"MCGANN BARTLETT & BROWN LLC","21","$9,995.35","202.00","$77.64","$30,191.50","$0.00"
"Johnson Berg & Saxby","1","$32,421.67","229.30","$2,325.67","$30,096.00","$0.00"
"Hayes, Scott, Bonino, Ellingson & McLay","6","$125,643.39","154.20","$969.30","$29,941.98","$0.00"
"WIMBERLY LAWSON SEALE WRIGHT & DAVES PLLC","19","$3,543.92","222.00","$1,590.66","$29,915.50","$0.00"
"CHAMBERLAIN HRDLICKA WHITE WILLIAMS & AUGHTRY","1","$38,889.35","162.10","$4,832.53","$29,742.50","$0.00"
"SPANGLER JENNINGS & DOUGHERTY PC","5","$20,338.12","317.90","$1,363.10","$29,729.72","$0.00"
"FENTON FENTON SMITH RENEAU & MOON","15","$3,342.34","248.00","$216.54","$29,636.00","$0.00"
"LEMONS GRUNDY & EISENBERG","3","$202,260.20","122.40","$110.00","$29,610.00","$0.00"
"MARVIN CHORZEMPA & LARSON PC","2","$15,229.03","224.38","$888.16","$29,569.90","$0.00"
"COPELAND STAIR KINGMA & LOVELL LLP","8","$22,608.09","148.00","$0.00","$29,387.09","$0.00"
"HAYNSWORTH SINKLER BOYD PA","1","$29,184.00","174.00","$0.00","$29,184.00","$0.00"
"Carr Legal Group","2","$14,521.00","61.10","$0.00","$29,042.00","$0.00"
"MEEKS SHEPPARD LEO & PILLSBURY","3","$48,839.15","84.00","$50.30","$28,836.60","$0.00"
"Farleigh Wada & Witt","4","$3,453.82","108.60","$0.00","$28,764.01","$0.00"
"MEYER DARRAGH BUCKLEY BEBENEK & ECK","1","$94,490.32","186.60","$225.35","$28,752.00","$0.00"
"O'CONNOR KIMBALL LLP","1","$38,886.30","167.10","$0.00","$28,542.35","$0.00"
"MARANGA MORGENSTERN","1","$124,987.45","155.80","$4,897.00","$28,432.80","$0.00"
"Burns White LLC","5","$26,450.22","181.60","$644.72","$28,313.13","$0.00"
"Connick Law LLC","2","$14,080.45","140.30","$120.40","$28,040.50","$0.00"
"Blue Williams, L.L.P.","1","$58,863.30","141.80","$542.67","$28,019.00","$0.00"
"Bustamante & Gagliasso, APC","1","$28,822.35","141.40","$996.35","$27,826.00","$0.00"
"Fasken Martineau Dumoulin","1","$160,272.86","60.80","$35.87","$27,722.90","$0.00"
"OXFORD LEHR LAW FIRM","16","$12,638.96","223.20","$0.00","$27,682.58","$0.00"
"BRACKETT & ELLIS PC","1","$27,616.56","169.50","$3.12","$27,613.44","$0.00"
"WINSTON & CASHATT LAWYERS","3","$15,565.39","219.50","$2,371.63","$27,590.98","$0.00"
"BINGHAM MANN & HOUSE","1","$27,578.50","147.00","$0.00","$27,578.50","$0.00"
"SHIVELY LANNIN GROUP PC LLO","5","$44,597.46","205.00","$104.36","$27,525.08","$0.00"
"HOLDER PADGETT LITTLEJOHN + PRICKETT LLC","13","$2,899.74","260.10","$1,680.42","$27,523.21","$0.00"
"Phillips Lytle Llp","2","$274,718.65","133.30","$59.75","$27,515.00","$0.00"
"BOHRNSEN STOCKER SMITH LUCIANI & ADAMSON","3","$817.00","176.00","$1,043.63","$27,397.00","$0.00"
"MAHER & TOLLESON LLC","12","$15,689.55","219.00","$308.61","$27,315.10","$0.00"
"Morris James, LLP","7","$132,282.20","47.90","$1,526.73","$48,288.00","$21,094.00"
"Hill Rivkins Llp","3","$15,614.90","190.80","$417.63","$27,053.66","$0.00"
"BASSETT DISCOE McMAINS & KARGOZAR","5","$24,815.61","201.90","$310.91","$27,045.71","$0.00"
"DAVIS CEDILLO & MENDOZA","1","$522,175.28","100.60","$41.42","$26,989.00","$0.00"
"HERZFELD & RUBIN","2","$1,816.00","170.70","$1,679.76","$26,790.20","$0.00"
"BALDWIN HASPEL BURKE & MAYER LLC","8","$12,022.77","199.90","$9,366.43","$26,725.76","$0.00"
"Jackson Walker","2","$156,322.57","87.90","$816.02","$26,329.00","$0.00"
"LAW OFFICES OF ADRIENNE COHEN","6","$16,435.29","163.20","$4,538.34","$26,280.00","$0.00"
"YOSHIMOTO LAW GROUP","1","","151.50","$3,633.39","$26,257.46","$0.00"
"Greines, Martin, Stein & Richiand LLP","2","$19,063.52","60.40","$1,650.04","$26,190.00","$0.00"
"BRINEY & FORET","1","$79,473.74","159.50","$2,876.73","$25,891.40","$0.00"
"ROBINS KAPLAN LLP","3","$75,386.91","111.10","$508.89","$25,743.00","$0.00"
"SMITH TYRA THOMAS & HAGGARD LLC","6","$6,342.05","190.50","$1,121.30","$25,738.00","$0.00"
"Bryan Cave","1","$55,751.74","26.90","$0.00","$25,736.33","$0.00"
"MCCORMICK FITZPATRICK KASPER BURCHARD","8","$3,401.64","209.20","$0.00","$25,578.00","$0.00"
"RAVEN & KOLBE LLP","1","$35,796.84","144.10","$546.48","$25,470.96","$0.00"
"JORDAN COYNE LLP","14","$7,632.73","156.40","$2,800.00","$25,457.23","$0.00"
"WOOD SMITH SCHNIPPER CLAY & VINES","1","$46,964.51","211.20","$995.69","$25,455.00","$0.00"
"TANOURY NAUTS MCKINNEY & GARBARINO","1","$49,240.70","179.00","$15,566.48","$25,316.30","$0.00"
"CIPOLLA CALABA MARRONE & WOLLMAN","6","$17,040.73","190.00","$425.92","$25,123.50","$0.00"
"Coats Rose","1","","190.80","$0.00","$25,084.90","$0.00"
"Buchanan Ingersoll & Rooney PC","7","$5,489.99","89.60","$271.90","$25,063.41","$0.00"
"Marr Jones & Wang A Limited Liability Law Partnership","1","","108.10","$3,063.10","$24,986.00","$0.00"
"SWEENEY & SHEEHAN","1","$35,762.06","150.90","$412.94","$24,795.36","$0.00"
"GRIMM VRANJES & GREER LLP","6","$25,373.38","187.60","$3,061.49","$24,789.32","$0.00"
"SODORO DALY SHOEMAKER & SELDE PC","12","$29,818.98","162.30","$315.00","$24,770.59","$0.00"
"ALLEN SUMMERS SIMPSON LILLIE & GRESHAM PLLC","1","$25,661.50","140.90","$0.00","$24,472.00","$0.00"
"SCHNEIDER BUCHEL LLP","1","$24,607.75","888.70","$188.75","$24,419.00","$0.00"
"HERMES LAW PC","1","$31,900.37","193.40","$385.00","$24,358.16","$0.00"
"MACARTHUR MACARTHUR & ASSOCIATES PC","9","$13,310.83","216.00","$662.92","$24,342.68","$0.00"
"DUE DOYLE FANNING & ALDERFER","2","$19,775.27","180.80","$0.00","$24,176.20","$0.00"
"SCHENCK PRICE SMITH & KING","3","$38,939.47","188.90","$279.32","$23,898.02","$0.00"
"CASSODY LAW INC","9","$4,892.53","241.40","$38.03","$23,889.27","$0.00"
"KISSIAH & LAY","2","$32,684.87","163.90","$296.69","$23,834.50","$0.00"
"CHOCK BARHOUM LLP","7","$10,056.86","212.10","$379.41","$23,673.00","$0.00"
"Farris Bobango Branan PLC","16","$7,521.20","133.80","$717.00","$23,655.50","$0.00"
"Noonan Lance Boyer & Banach","1","","42.90","$0.00","$23,595.00","$0.00"
"Lowther & Johnson","1","$23,485.00","98.60","$0.00","$23,485.00","$0.00"
"MONTFORT, HEALY, MCGUIRE & SALLEY","2","$14,785.61","128.10","$712.44","$23,430.50","$0.00"
"ROBINSON GRAY STEPP & LAFFITTE LLC","5","$6,555.33","190.40","$470.34","$23,341.99","$0.00"
"PIERCE & MANDELL, P.C.","2","$7,024.00","135.30","$0.00","$23,336.00","$0.00"
"HANNA BROPHY MACLEAN MCALEER JENSEN","9","$10,597.32","171.80","$81.60","$23,255.50","$0.00"
"BREHM NOFER & MCCARTER PC","4","$276.45","133.80","$580.79","$23,031.68","$0.00"
"REILY & JEFFERY INC","3","$30,715.99","122.00","$47.55","$23,017.50","$0.00"
"Giarmarco, Mullins & Horton, PC","3","","161.60","$866.20","$22,871.10","$0.00"
"PEREZ & MORRIS LLC","7","$11,746.83","223.80","$2,408.54","$22,841.41","$0.00"
"Decker Law, LLC","1","$54,494.04","180.30","$1,822.51","$22,695.00","$0.00"
"COBB BOYD WHITE & COBB","5","$7,148.53","180.50","$12,626.00","$22,689.25","$0.00"
"SICILIANO ELLIS DYER & BOCCAROSSE PLC","4","$13,441.83","152.10","$39.00","$22,638.09","$0.00"
"DONAHUE DAVIES LLP","5","$8,824.04","105.60","$1,521.86","$22,464.30","$0.00"
"Adams Stepner Woltermann & Dusing","8","$3,373.00","161.00","$0.00","$22,300.50","$0.00"
"COLE HANSEN CHESTER LLP","1","$91,563.15","81.00","$35.00","$22,200.00","$0.00"
"PHELPHS DUNBAR LLP","8","$33,606.29","165.30","$4,836.54","$22,029.37","$0.00"
"EDELSTEIN LAW LLP","4","$11,115.75","211.40","$0.88","$21,905.40","$0.00"
"COX PLLC","1","","144.10","$353.44","$21,809.48","$0.00"
"GERBER CIANO KELLY BRADY LLP","2","$8,313.36","102.20","$58.36","$21,687.50","$0.00"
"PERKINS MITCHELL POPE & MCALLISTER LLP","4","$13,770.75","199.50","$842.17","$21,629.76","$0.00"
"Conyers Dill & Pearman","2","$25,789.30","42.40","$127.80","$24,581.00","$2,960.00"
"GOLD, LEVY","1","","151.80","$0.00","$21,613.80","$0.00"
"MITCHELL MCNUTT & SAMS","4","$13,375.94","172.10","$110.84","$21,562.74","$0.00"
"Fabian Vancott","1","$21,504.40","132.30","$0.00","$21,504.40","$0.00"
"ADAMS HOEFER HOLWADEL","1","$37,322.23","151.80","$356.82","$21,226.50","$0.00"
"Taylor, Keller & Oswald, PLLC","5","$139,088.21","150.90","$867.60","$21,091.00","$0.00"
"BEST & SHARP","1","$68,993.04","158.70","$173.11","$20,974.50","$0.00"
"Perez Alati Grondona Benites Arntsen & Martinez De Hoz","2","$175,836.20","95.17","$16.23","$20,829.50","$0.00"
"SCHLOSSBERG & UMHOLTZ","4","","155.30","$0.00","$20,747.50","$0.00"
"WARDER LAW FIRM LLC","3","$12,001.54","170.70","$568.80","$20,684.75","$0.00"
"Damon Key Leong Kupchak Hastert","1","$20,508.00","57.90","$0.00","$20,508.00","$0.00"
"Venable","1","$20,422.60","27.80","$0.00","$20,422.60","$0.00"
"LEAHY WRIGHT & ASSOCIATES LLC","6","$34,006.86","193.10","$0.00","$20,275.50","$0.00"
"SMITH SPIRES & PEDDY PC","3","$12,269.63","112.50","$706.13","$20,246.00","$0.00"
"Sinnreich & Kosakoff","1","","121.70","$0.00","$19,899.50","$0.00"
"Gilbert Levy Bennett","1","","120.30","$4,018.58","$19,739.50","$0.00"
"MARTIN CLEARWATER & BELL LLP","2","$100,556.84","254.40","$1,706.09","$19,734.16","$0.00"
"LAW OFFICE OF JODIE P FILKINS APC","6","$2,332.44","154.90","$41.04","$19,720.00","$0.00"
"RON CARSON - BENEFITS COUNSELOR","3","$95,281.63","171.10","$0.00","$19,621.68","$0.00"
"Platzer, Swergold, Levine, Goldberg, Katz & Jaslow","1","$43,147.18","94.60","$0.00","$19,400.00","$0.00"
"MANIER & HEROD PC","7","$26,614.25","137.90","$218.54","$19,339.44","$0.00"
"Zimmer Kunz Professional Limited Liability Company","1","$77,850.48","148.60","$0.00","$19,138.50","$0.00"
"BENNETT JACOBS & ADAMS PA","7","$7,464.17","168.60","$3,826.11","$19,122.00","$0.00"
"MEYER UNKOVIC & SCOTT LLP","2","$34,412.46","90.70","$7.30","$19,047.00","$0.00"
"GWIN STEINMETZ MILLER & BAIRD","2","$29,368.78","102.90","$1,572.06","$18,898.50","$0.00"
"LAW OFFICES OF SINGER & BENJUMEA","7","$37,523.23","152.30","$0.00","$18,819.00","$0.00"
"WILLAIMS PORTER DAY & NEVILLE","4","$143,536.56","159.80","$3,700.11","$18,507.68","$0.00"
"Taft","2","$39,409.32","78.70","$157.05","$18,409.97","$0.00"
"SCHWED KAHLE & KRESS PA","1","","102.00","$126.10","$18,303.40","$0.00"
"Perrier And Lacoste","4","","186.30","$0.00","$18,266.50","$0.00"
"REED ARMSTRONG MUDGE & MORRISSEY PC","8","$10,648.89","159.10","$1,701.52","$18,256.65","$0.00"
"BURGER & ROBERTSON","1","$18,675.00","74.50","$0.00","$18,250.00","$0.00"
"FEENEY & MURRAY PC","5","$11,343.40","146.50","$499.10","$18,204.00","$0.00"
"CARTER CONBOY CASE BLACKMORE MALONEY & LAIRD PC","2","$53,139.72","110.80","$261.06","$18,000.51","$0.00"
"POLLART MILLER LLC","3","$6,899.41","145.40","$486.23","$17,969.00","$0.00"
"French & Casey LLP","2","$18,754.15","113.60","$112.08","$17,948.50","$0.00"
"Helsell Fetterman","1","$18,643.59","91.00","$734.59","$17,909.00","$0.00"
"DUBOIS & CRUICKSHANK PA","4","$9,763.08","180.90","$0.00","$17,848.35","$0.00"
"Daniel Coker Horton & Bell, P.A.","1","$19,221.55","119.90","$1,627.05","$17,594.50","$0.00"
"Gugliotta U Ponzini","8","$10,210.25","83.30","$3,385.25","$17,493.00","$0.00"
"CRIVELLO CARLSON","1","","85.80","$0.00","$17,434.50","$0.00"
"LOUIE & STETTLER","2","$15,355.20","124.80","$0.00","$17,422.50","$0.00"
"JACOBSON & ASSOCIATES","5","$7,197.43","101.00","$44.68","$17,298.33","$0.00"
"HIGGINS CAVANAGH & COONEY LLP","13","$8,501.67","152.80","$348.12","$17,223.60","$0.00"
